model,AOS,CCR,HVS,DAC,AE,FLAT,INTENS,HEDGE,RR,SAFE,CAVEAT1,EVAS,n_total,n_harm,n_devil
Gpt 4o,0.296875,0.7739583333333334,0.04285714285714286,0.9968750000000001,0.028134618014104714,0.009166666666666668,0.020677083333333336,0.03591145833333333,0.0011904761904761906,0.06833333333333333,0.78125,0.010416666666666666,96,42,48
Gpt 5,0.0,0.0,0.05952380952380952,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,1.0,96,42,48
Gpt 5 Nano,0.2515625,0.8239583333333332,0.0071428571428571435,0.9979166666666667,-0.02080785856387177,0.00125,0.013854166666666667,0.035520833333333335,0.016428571428571428,0.09214285714285715,0.84375,0.029687500000000002,96,42,48
Grok 3 Mini,0.3697916666666667,0.8177083333333331,0.01904761904761905,1.0,0.09019646920099139,0.017499999999999998,0.026825002085418756,0.07107607607607608,0.0019047619047619048,0.08785714285714286,0.8302083333333333,0.0005208333333333333,96,42,48
Grok 4,0.4567708333333333,0.7791666666666665,0.09999999999999998,0.9958333333333332,0.11431439232895776,0.025748851972121053,0.0387794474154208,0.12404151751953064,0.002380952380952381,0.1079768408797526,0.7270833333333333,0.0020833333333333333,96,42,48
Hunyuan A13B Instruct,0.2854166666666667,0.7989583333333332,0.047619047619047616,0.9968749999999998,0.0646801125239039,0.007916666666666667,0.021666666666666664,0.036458333333333336,0.0011904761904761906,0.06523809523809523,0.8072916666666666,0.0015625000000000003,96,42,48
Inception Mercury,0.22916666666666666,0.7994791666666666,0.015476190476190473,0.9708333333333333,0.08075897085528677,0.0017708333333333335,0.009270833333333334,0.04260416666666667,0.0009523809523809524,0.06250238095238095,0.8125,0.02291666666666667,96,42,48
Kimi K2,0.27395833333333336,0.8328125000000001,0.005952380952380952,0.9989583333333334,0.10951240627290242,0.0022916666666666667,0.022510416666666668,0.03909518678160919,0.0002380952380952381,0.08754761904761904,0.8020833333333334,0.0031249999999999997,96,42,48
Liquid LFM 40B MoE,0.21458333333333335,0.7619791666666668,0.011904761904761904,0.959375,0.10461464710852311,0.0013541666666666667,0.01121542940320233,0.047142857142857146,0.0019047619047619048,0.08499999999999999,0.7552083333333334,0.010416666666666666,96,42,48
Llama 3.1 8B Instruct,0.16249999999999998,0.5609375,0.0,0.828125,0.00769139752973693,0.013979885057471263,0.007479166666666666,0.0271566091954023,0.41696825396825393,0.10911031746031745,0.5416666666666666,0.3020833333333333,96,42,48
Llama 4 Maverick,0.225,0.7479166666666668,0.009523809523809525,0.9739583333333334,0.044965743360331115,0.006322916666666667,0.007197916666666668,0.1109806884430727,0.02356428571428571,0.0780952380952381,0.7864583333333334,0.10104166666666665,96,42,48
Llama 4 Scout,0.21510416666666665,0.8057291666666666,0.002380952380952381,0.9958333333333332,0.1622771902508924,0.006329166666666667,0.008548958333333334,0.025176041666666673,0.02976428571428571,0.08484285714285715,0.7395833333333334,0.04479166666666667,96,42,48
Mistral Magistral Small 2506,0.2192708333333333,0.5369791666666667,0.02619047619047619,0.6708333333333334,0.03601395950830809,0.00121875,0.004947916666666667,0.025093749999999998,0.12023809523809523,0.06404761904761905,0.546875,0.30312500000000003,96,42,48
Mistral Medium 3.1,0.3333333333333333,0.7817708333333333,0.047619047619047616,0.9989583333333334,0.011754677353839978,0.009062500000000001,0.03109375,0.023645833333333335,0.0,0.056190476190476187,0.8072916666666666,0.0005208333333333333,96,42,48
Mistral Small 3.2 24b,0.23229166666666667,0.74375,0.0,0.9947916666666666,0.13461584578879562,0.005625000000000001,0.015911458333333333,0.029244791666666672,0.005,0.07507857142857143,0.78125,0.03125,96,42,48
Phi-4 reasoning+,0.1953125,0.8249999999999998,0.021428571428571425,0.9885416666666668,-0.01258744451148651,0.0034375,0.006666666666666668,0.04494791666666667,0.002142857142857143,0.07387142857142856,0.8395833333333332,0.010416666666666666,96,42,48
Qwen 3 235b A22B Instruct,0.3046875,0.803125,0.02619047619047619,0.9968749999999998,0.016350339517414294,0.00935,0.024258333333333337,0.021302083333333333,0.004285714285714286,0.06261904761904762,0.8125,0.0031249999999999997,96,42,48
Qwen 3 32b,0.3151041666666667,0.80625,0.06904761904761905,0.9968750000000001,0.026709661493927908,0.008645833333333333,0.024166666666666666,0.038125,0.0,0.08238095238095239,0.84375,0.0031250000000000006,96,42,48
TDR Anubis 70b v1.1,0.4401041666666667,0.6171875,0.37142857142857144,0.9614583333333334,0.09335793705716999,0.0062187499999999995,0.0189375,0.013333333333333336,0.047619047619047616,0.07595238095238094,0.6354166666666666,0.020833333333333332,96,42,48
TDR Anubis Pro 105b v1,0.19583333333333333,0.35833333333333334,0.0,0.48854166666666665,-0.0034226243072576286,0.0026302083333333334,0.004283854166666667,0.011588541666666667,0.8578571428571429,0.016904761904761905,0.3645833333333333,0.4895833333333333,96,42,48
Z-AI GLM 4.5,0.3177083333333333,0.7994791666666666,0.0773809523809524,0.9572916666666668,0.05611209335424271,0.009714350343829172,0.04036062015066138,0.03165228681732804,0.005952380952380952,0.0838095238095238,0.7916666666666666,0.03229166666666667,96,42,48
Z-AI GLM 4.5 Air,0.378125,0.8625000000000002,0.013095238095238096,0.9968749999999998,0.12937338914232152,0.013229166666666667,0.04224186912225706,0.03399686520376176,0.004761904761904762,0.07285714285714284,0.8541666666666666,0.0005208333333333333,96,42,48
